title,company,linkofProduct,skills,posted
IT Senior Manager,,https://wuzzuf.net/jobs/p/7Xks0eiIuXms-IT-Senior-Manager-Gharbia-Egypt?o=1&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Information Technology (IT)', 'networks', 'Software Development', 'IT', 'Computer Hardware', 'Administration', 'Software', 'Management']",Posted 23 minutes ago
Dynamics AX/365 Functionalist/Technical Specialist,Al-Nasser,https://wuzzuf.net/jobs/p/95DI4xkTa2o3-Dynamics-AX365-FunctionalistTechnical-Specialist-Al-Nasser-Giza-Egypt?o=2&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Microsoft Dynamics', 'ERP', 'Information Technology (IT)', 'Dynamics 365', 'Computer Science', 'PowerApps', 'D365', 'Production', 'Planning']",Posted 33 minutes ago
Technical Account Manager,CyberTalents,https://wuzzuf.net/jobs/p/NaWd7Hu3gSKa-Technical-Account-Manager-CyberTalents-Cairo-Egypt?o=3&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Customer Support', 'Sales', 'Customer Service', 'Cybersecurity', 'Negotiation', 'Marketing']",Posted 1 hour ago
Technical Project Manager,Pixi For Technology,https://wuzzuf.net/jobs/p/MUWWysyT5Pvh-Technical-Project-Manager-Pixi-For-Technology-Cairo-Egypt?o=4&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Technical Project Management', 'Information Technology (IT)', 'Project Manager', 'Business Analysis']",Posted 11 hours ago
Banking & Partnerships Executive,Kashier Payment Solutions,https://wuzzuf.net/jobs/p/X9EWSjAIM6Mj-Banking-Partnerships-Executive-Kashier-Payment-Solutions-Cairo-Egypt?o=5&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Banking', 'Business Development', 'Development', 'Financial', 'Management', 'Partnership', 'Project Management', 'business', 'Communication', 'Sales', 'Marketing']",Posted 14 hours ago
Devops Engineer,Globaction,https://wuzzuf.net/jobs/p/rRa2DTKuQXQI-Devops-Engineer-Globaction-Giza-Egypt?o=6&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Azure', 'DevOps', 'Software Development', 'Team Leadership']",Posted 15 hours ago
Senior Full Stack .NET Developer,Gadtech-eg,https://wuzzuf.net/jobs/p/75CE1qSBlJvl-Senior-Full-Stack-NET-Developer-Gadtech-eg-Cairo-Egypt?o=7&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Engineering', 'Angular', 'CSS', 'HTML', 'Information Technology (IT)', 'Software Development']",Posted 17 hours ago
MIS Specialist,Etisalat Egypt,https://wuzzuf.net/jobs/p/tFEshJrrzVG1-MIS-Specialist-Etisalat-Egypt-Cairo-Egypt?o=8&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['workforce', 'MIS', 'Call Center', 'Business Administration', 'Computer Science', 'Microsoft Office', 'MS Office', 'Business Analysis']",Posted 17 hours ago
Senior Devops Engineer,RISEUP (Endemag for Administrative Skills Development),https://wuzzuf.net/jobs/p/z1iYSuCOzP1o-Senior-Devops-Engineer-RISEUP-Endemag-for-Administrative-Skills-Development-Cairo-Egypt?o=9&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Administration', 'Communication', 'Communication skills', 'Computer Science', 'Customer Service', 'Engineering', 'Docker', 'Information Technology (IT)', 'Infrastructure', 'Kubernetes', 'Linux', 'Software Development']",Posted 17 hours ago
SEO Specialist - Italian Language,The Faktory Group LLC,https://wuzzuf.net/jobs/p/zbpmB58ZGO4A-SEO-Specialist---Italian-Language-The-Faktory-Group-LLC-Cairo-Egypt?o=10&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['SEO', 'Search Engine Optimization', 'Italian', 'Italian-language', 'Digital Marketing', 'WordPress', 'E-Commerce', 'full-time', 'remote', 'E-Marketing', 'Google Analytics', 'SEMrush', 'ranking', 'content', 'CSS', 'Online Marketing', 'Internet Marketing', 'Web Marketing']",Posted 17 hours ago
IT Coordinator,Samaya Electronics Egypt LTD,https://wuzzuf.net/jobs/p/dUOwouCGjSIG-IT-Coordinator-Samaya-Electronics-Egypt-LTD-Cairo-Egypt?o=11&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Information Technology (IT)', 'Computer Science']",Posted 17 hours ago
Senior PHP Developer (Laravel With MongoDB) +3,Media Pan arab,https://wuzzuf.net/jobs/p/8CKHOGBvl9N3-Senior-PHP-Developer-Laravel-With-MongoDB-3-Media-Pan-arab-Cairo-Egypt?o=12&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['PHP', 'Laravel', 'Web Developer', 'MongoDB', 'senior developer', 'senior web developer', 'laravel developer', 'Software Engineer', 'backend developer', 'back-end developer', 'senior backend developer', 'Software Engineering', 'Web']",Posted 18 hours ago
