title,company,linkofProduct,skills,posted
Senior .NET Developer,Multi Level Group (MLG),https://wuzzuf.net/jobs/p/IxlK0tx2GHPU-Senior-NET-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=1&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['.Net', 'APIs', 'Agile', 'SQL', 'SQL Server', 'Troubleshooting', 'Web Services', 'Software Development', 'Communication skills', 'Computer Science', 'Information Technology (IT)', 'Software Engineering', '.NET Developer', 'Developing web']",Posted 1 hour ago
IT Service Desk Internship,Azadea Group,https://wuzzuf.net/internship/bXJknRFEQKB3-IT-Service-Desk-Internship-Azadea-Group-Cairo-Egypt?o=2&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Computer Science', 'Customer Service', 'Information Technology (IT)', 'Service Desk', 'Service', 'IT', 'Customer Support']",Posted 4 hours ago
Full Stack Developer,,https://wuzzuf.net/jobs/p/PrWv1WdGV1ty-Full-Stack-Developer-Cairo-Egypt?o=3&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Full-Stack', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'JavaScript', 'Software Development', 'Stack']",Posted 14 hours ago
Artificial Intelligence Engineer,Arabia for Information Technology,https://wuzzuf.net/jobs/p/PfAuiUBT66oR-Artificial-Intelligence-Engineer-Arabia-for-Information-Technology-Cairo-Egypt?o=4&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Computer Engineering', 'Computer Science', 'Software Development', 'Information Technology (IT)', 'Framework', 'Engineering', 'English', 'Communication', 'Development', 'AI', 'Artificial Intelligence (AI)']",Posted 17 hours ago
Senior C++ on Linux Developer,RDI,https://wuzzuf.net/jobs/p/uKN8cqeBRV45-Senior-C-on-Linux-Developer-RDI-Giza-Egypt?o=5&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['C++', 'Software Development', 'Linux', 'oop', 'Front-End', 'Computer Engineering', 'Analysis', 'Linux OS', 'Data Structure', 'Cloud Computing']",Posted 1 day ago
Laravel Developer for la2et.com,,https://wuzzuf.net/jobs/p/A9qbC3T4OvtW-Laravel-Developer-for-la2etcom-Cairo-Egypt?o=6&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Startup', 'Computer Science', 'Computer Engineering', 'Information Technology (IT)', 'PHP', 'Laravel', 'Full Stack Laravel']",Posted 1 day ago
Python and Javascript Machine Learning Engineer (NLP - Natural Language Processing),GetTechForce.com,https://wuzzuf.net/jobs/p/DgaOYxVHPUE7-Python-and-Javascript-Machine-Learning-Engineer-NLP---Natural-Language-Processing-GetTechForce-com-Cairo-Egypt?o=7&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Flask', 'Python', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'Frameworks', 'Kubernetes', 'Debug', 'Docker', 'OAuth', 'ASGI', 'Web Development', 'Web Developer', 'Security', 'ASP', 'ASP.NET Core', 'Cloud Services', 'Cloud Development', 'AWS Cloud', 'Django', 'Django Framework', 'Database', 'API', 'HTML', 'JavaScript', 'Machine Learning', 'Programming', 'NLP', 'Design', 'SQL']",Posted 1 day ago
Scrum Master - Part Time (Remotely),Alexandria For Programming,https://wuzzuf.net/jobs/p/dKUV7fTPkVZR-Scrum-Master---Part-Time-Remotely-Alexandria-For-Programming-Alexandria-Egypt?o=8&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Agile scrum', 'Agile', 'Scrum Master', 'Scrum', 'Software', 'Project Management', 'Information Technology (IT)', 'Project']",Posted 1 day ago
Senior Ruby On Rails Developer - Remote,GetTechForce.com,https://wuzzuf.net/jobs/p/RILSHWlbIyqY-Senior-Ruby-On-Rails-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=9&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['Ruby', 'Agile', 'Computer Science', 'CSS', 'DevOps', 'Engineering', 'HTML', 'Information Technology (IT)', 'Python', 'Ruby on Rails', 'Software Development', 'Programming', 'Redis', 'Rails', 'Software Engineering', 'PostgreSQL', 'MySQL', 'REST', 'MVC']",Posted 2 days ago
Devops Engineer - Remote,GetTechForce.com,https://wuzzuf.net/jobs/p/owa73Qb2qbqI-Devops-Engineer---Remote-GetTechForce-com-Cairo-Egypt?o=10&l=bp&t=bj&bpv=np&a=IT-Software-Development-Jobs-in-Egypt,"['devops', 'Automation', 'Computer Science', 'Cloud', 'Database', 'Engineering', 'HTTP', 'Information Technology (IT)', 'Jenkins', 'Software Development', 'Troubleshooting', 'Varnish', 'CI', 'AWS', 'Kubernetes', 'Networking', 'Redis']",Posted 2 days ago
